family_GM_only,phylum_GM_only,family_samples_only,phylum_samples_only
Candidatus Babeliaceae,Actinomycetota,,
Jonesiaceae,Actinomycetota,,
Methanococcaceae,Actinomycetota,,
Acaryochloridaceae,Cyanobacteria,,
Wenzhouxiangellaceae,Bacteroidota,,
Gordoniaceae,Bacteroidota,,
Brachyspiraceae,Actinomycetota,,
Acidiferrobacteraceae,Proteobacteria,,
Halobacteriovoraceae,Bacteroidota,,
Sporanaerobacteraceae,Bacteroidota,,
Kaistiaceae,Bacteroidota,,
Cuniculiplasmataceae,Actinomycetota,,
Psychromonadaceae,Actinomycetota,,
Hyellaceae,Bacteroidota,,
Gemmatimonadaceae,Actinomycetota,,
Methanocorpusculaceae,Bacteroidota,,
Clostridiales Family XVI. Incertae Sedis,Actinomycetota,,
Jiangellaceae,Bacteroidota,,
Desulfosudaceae,Actinomycetota,,
Kribbellaceae,Actinomycetota,,
Thermodesulfobiaceae,Actinomycetota,,
Steroidobacteraceae,Actinomycetota,,
Calditrichaceae,Actinomycetota,,
Conexibacteraceae,Actinomycetota,,
Thermoleophilaceae,Actinomycetota,,
Sulfurospirillaceae,Actinomycetota,,
Thiobacillaceae,Actinomycetota,,
Terasakiellaceae,Actinomycetota,,
Methanocaldococcaceae,Actinomycetota,,
Deferribacteraceae,Actinomycetota,,
Caldisphaeraceae,Actinomycetota,,
Zooshikellaceae,Actinomycetota,,
Hydrogenophilaceae,Actinomycetota,,
Tropherymataceae,Actinomycetota,,
Ancalomicrobiaceae,Proteobacteria,,
Sphaerobacteraceae,Actinomycetota,,
Sulfurovaceae,Actinomycetota,,
Desulfonauticaceae,Actinomycetota,,
Sphingosinicellaceae,Actinomycetota,,
Neomegalonemataceae,Bacillota,,
Methanothermaceae,Bacillota,,
Methanomicrobiaceae,Bacillota,,
Methanotrichaceae,Bacillota,,
Polyangiaceae,Bacillota,,
Thermoplasmataceae,Actinomycetota,,
Halanaerobiaceae,Bacillota,,
Candidatus Midichloriaceae,Bacillota,,
Haliscomenobacteraceae,Bacillota,,
Flexistipitaceae,Bacillota,,
Gomontiellaceae,Bacillota,,
Sinobacteraceae,Actinomycetota,,
Amoebophilaceae,Actinomycetota,,
Thermoanaerobacterales Family IV. Incertae Sedis,Actinomycetota,,
Schleiferiaceae,Actinomycetota,,
Arcobacteraceae,Actinomycetota,,
Parvibaculaceae,Actinomycetota,,
Lentisphaeraceae,Bacillota,,
Francisellaceae,Bacillota,,
Nitratiruptoraceae,Bacillota,,
Fastidiosibacteraceae,Bacillota,,
Roseivirgaceae,Actinomycetota,,
Acidothermaceae,Actinomycetota,,
Fibrobacteraceae,Bacillota,,
Thermonemataceae,Actinomycetota,,
Chelatococcaceae,Bacillota,,
Parachlamydiaceae,Bacillota,,
Mycoplasmoidaceae,Bacillota,,
Thermodesulfovibrionaceae,Actinomycetota,,
Tepidimicrobiaceae,Actinomycetota,,
Segniliparaceae,Actinomycetota,,
Cellulosilyticaceae,Actinomycetota,,
Patulibacteraceae,Bacteroidota,,
Catenulisporaceae,Actinomycetota,,
Actinospicaceae,Actinomycetota,,
Gallionellaceae,Bacteroidota,,
Bartonellaceae,Actinomycetota,,
Solibacteraceae,Actinomycetota,,
Trueperaceae,Actinomycetota,,
Thorselliaceae,Actinomycetota,,
Rhodobiaceae,Actinomycetota,,
Amorphaceae,Actinomycetota,,
Brevinemataceae,Actinomycetota,,
Kopriimonadaceae,Actinomycetota,,
Sneathiellaceae,Actinomycetota,,
Sporichthyaceae,Actinomycetota,,
Holophagaceae,Actinomycetota,,
Methanoregulaceae,Bacteroidota,,
Ktedonobacteraceae,Actinomycetota,,
Sanguibacteraceae,Bacillota,,
Rivulariaceae,Bacillota,,
Persicobacteraceae,Actinomycetota,,
Thalassobaculaceae,Bacillota,,
Perlucidibacaceae,Actinomycetota,,
Cyanothecaceae,Actinomycetota,,
Celerinatantimonadaceae,Bacillota,,
Methylothermaceae,Actinomycetota,,
Litoricolaceae,Actinomycetota,,
Rubrobacteraceae,Bacillota,,
Elusimicrobiaceae,Deinococcus-Thermus,,
Nitriliruptoraceae,Bacteroidota,,
Lewinellaceae,Bacillota,,
Acanthopleuribacteraceae,Acidobacteria,,
Desulfarculaceae,Bacillota,,
Elioraeaceae,Bacillota,,
Picrophilaceae,Bacillota,,
Calditerrivibrionaceae,Bacillota,,
Moritellaceae,Bacillota,,
Thermomicrobiaceae,Bacillota,,
Tepidanaerobacteraceae,Bacillota,,
Salisaetaceae,Bacillota,,
Methylacidiphilaceae,Bacillota,,
Nannocystaceae,Bacillota,,
Zymomonadaceae,Bacillota,,
Pyrodictiaceae,Bacillota,,
Phycisphaeraceae,Bacillota,,
Salinarimonadaceae,Bacillota,,
Marinifilaceae,Bacillota,,
Ignavibacteriaceae,Bacillota,,
Dehalococcoidaceae,Bacillota,,
Bruguierivoracaceae,Bacillota,,
Herpetosiphonaceae,Bacillota,,
Sulfuricellaceae,Bacillota,,
Methermicoccaceae,Bacillota,,
Caldisericaceae,Actinomycetota,,
Waddliaceae,Bacillota,,
Ferroplasmaceae,Bacillota,,
Chlamydiaceae,Actinomycetota,,
Budviciaceae,Actinomycetota,,
Flexibacteraceae,Bacillota,,
