"","group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test","expression","variable","p.value.sig"
"133","batch_Korth_et_al_2022","M-SHIME_Chassaing_et_al_2017",4.44133950605578,0.000706264845564407,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.06e-04"")","Observed","***"
"134","batch_Korth_et_al_2022","PolyFermS_Pham_et_al_2019",9.20973424130745,4.11936028138994e-18,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.12e-18"")","Observed","***"
"135","batch_Korth_et_al_2022","SHIME_Firrman_et_al_2021",2.96789741441242,0.150985855438832,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.15"")","Observed","n.s."
"136","batch_Korth_et_al_2022","SHIME_Liu_et_al_2022",0.0161454356908704,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"137","batch_Korth_et_al_2022","SHIME_Ma_et_al_2022",6.11976230619181,0.0000000909035925980471,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.09e-08"")","Observed","***"
"138","batch_Korth_et_al_2022","SIMGI_Zorraquin_et_al_2021",1.96920641755931,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"139","batch_Korth_et_al_2022","TIM-2_Larsen_et_al_2019",0.942352250464688,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"140","batch_Korth_et_al_2022","TIM-2_Vieira_et_al_2021",13.6952829398091,1.60339528857873e-40,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.60e-40"")","Observed","***"
"141","batch_Korth_et_al_2022","single_stage_Xu_et_al_ 2019",2.73875075624684,0.296030923340695,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.30"")","Observed","n.s."
"142","single_stage_Xu_et_al_ 2019","ARCOL_Leclerc_et_al_2021",7.87497626454939,3.91928683850133e-13,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.92e-13"")","Observed","***"
"143","single_stage_Xu_et_al_ 2019","Infors_Reese_et_al_2018",3.84804897387054,0.00821529561831143,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""8.22e-03"")","Observed","**"
"144","single_stage_Xu_et_al_ 2019","M-ARCOL_Deschamps_et_al_2020",0.446848943096212,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"145","single_stage_Xu_et_al_ 2019","M-SHIME_Abbeele_2021",7.50187550540492,6.98313318755885e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.98e-12"")","Observed","***"
"146","single_stage_Xu_et_al_ 2019","M-SHIME_Chassaing_et_al_2017",0.503337377280717,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"147","single_stage_Xu_et_al_ 2019","PolyFermS_Pham_et_al_2019",5.05339589602154,0.000037759995178052,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.78e-05"")","Observed","***"
"148","single_stage_Xu_et_al_ 2019","SHIME_Firrman_et_al_2021",4.30147471390473,0.00130642156303965,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.31e-03"")","Observed","**"
"149","single_stage_Xu_et_al_ 2019","SHIME_Liu_et_al_2022",1.39669385513701,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"150","single_stage_Xu_et_al_ 2019","SHIME_Ma_et_al_2022",3.27156880242822,0.0641715366890848,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.06"")","Observed","n.s."
"151","single_stage_Xu_et_al_ 2019","SIMGI_Zorraquin_et_al_2021",1.34345491684869,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"152","single_stage_Xu_et_al_ 2019","TIM-2_Larsen_et_al_2019",3.02623170167864,0.131239909387867,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.13"")","Observed","n.s."
"153","single_stage_Xu_et_al_ 2019","TIM-2_Vieira_et_al_2021",9.05753335050279,1.65457851070699e-17,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.65e-17"")","Observed","***"
"154","ARCOL_Leclerc_et_al_2021","M-ARCOL_Deschamps_et_al_2020",8.62407708813737,7.75339045191739e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.75e-16"")","Chao1","***"
"155","Infors_Reese_et_al_2018","ARCOL_Leclerc_et_al_2021",4.26191368847052,0.00154039634623181,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.54e-03"")","Chao1","**"
"156","Infors_Reese_et_al_2018","M-ARCOL_Deschamps_et_al_2020",4.50049097177525,0.000542373475522797,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.42e-04"")","Chao1","***"
"157","Infors_Reese_et_al_2018","PolyFermS_Pham_et_al_2019",1.06968942045234,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"158","M-SHIME_Abbeele_2021","ARCOL_Leclerc_et_al_2021",1.41714854319147,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"159","M-SHIME_Abbeele_2021","Infors_Reese_et_al_2018",3.32659725954201,0.0545062671231704,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.05"")","Chao1","n.s."
"160","M-SHIME_Abbeele_2021","M-ARCOL_Deschamps_et_al_2020",8.43369527953815,3.95203342722126e-15,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.95e-15"")","Chao1","***"
"161","M-SHIME_Abbeele_2021","M-SHIME_Chassaing_et_al_2017",8.25133041663976,1.81703325719827e-14,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.82e-14"")","Chao1","***"
"162","M-SHIME_Abbeele_2021","PolyFermS_Pham_et_al_2019",2.28822409642447,0.929227913827696,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.93"")","Chao1","n.s."
"163","M-SHIME_Abbeele_2021","SIMGI_Zorraquin_et_al_2021",0.757752126610491,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"164","M-SHIME_Abbeele_2021","TIM-2_Larsen_et_al_2019",11.6257810868221,4.32805704762632e-29,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.33e-29"")","Chao1","***"
"165","M-SHIME_Abbeele_2021","TIM-2_Vieira_et_al_2021",2.20063353401823,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"166","M-SHIME_Chassaing_et_al_2017","ARCOL_Leclerc_et_al_2021",8.37471001123369,6.47712210736237e-15,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.48e-15"")","Chao1","***"
"167","M-SHIME_Chassaing_et_al_2017","Infors_Reese_et_al_2018",3.94221352009548,0.00565131377271942,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.65e-03"")","Chao1","**"
"168","M-SHIME_Chassaing_et_al_2017","M-ARCOL_Deschamps_et_al_2020",1.08679701936441,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"169","M-SHIME_Chassaing_et_al_2017","PolyFermS_Pham_et_al_2019",5.35778771982239,0.00000766648981338819,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.67e-06"")","Chao1","***"
"170","M-SHIME_Chassaing_et_al_2017","SIMGI_Zorraquin_et_al_2021",1.2339665982374,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"171","M-SHIME_Chassaing_et_al_2017","TIM-2_Larsen_et_al_2019",4.32590314439542,0.00118488368119583,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.18e-03"")","Chao1","**"
"172","M-SHIME_Chassaing_et_al_2017","TIM-2_Vieira_et_al_2021",9.82834269799576,1.09657896697893e-20,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.10e-20"")","Chao1","***"
"173","PolyFermS_Pham_et_al_2019","ARCOL_Leclerc_et_al_2021",3.37132645834194,0.0471285065905216,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.05"")","Chao1","*"
"174","PolyFermS_Pham_et_al_2019","M-ARCOL_Deschamps_et_al_2020",5.80180266388225,0.000000616694005261098,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.17e-07"")","Chao1","***"
"175","SHIME_Firrman_et_al_2021","ARCOL_Leclerc_et_al_2021",11.0602560857342,2.65932277126645e-26,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.66e-26"")","Chao1","***"
"176","SHIME_Firrman_et_al_2021","Infors_Reese_et_al_2018",7.63719855155686,2.530788801511e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.53e-12"")","Chao1","***"
"177","SHIME_Firrman_et_al_2021","M-ARCOL_Deschamps_et_al_2020",4.10980101336907,0.00293040153254675,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.93e-03"")","Chao1","**"
"178","SHIME_Firrman_et_al_2021","M-SHIME_Abbeele_2021",11.0326192215835,3.59104319281855e-26,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.59e-26"")","Chao1","***"
"179","SHIME_Firrman_et_al_2021","M-SHIME_Chassaing_et_al_2017",5.27265528007713,0.0000119672945604772,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.20e-05"")","Chao1","***"
"180","SHIME_Firrman_et_al_2021","PolyFermS_Pham_et_al_2019",8.78499184626575,1.9077857285388e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.91e-16"")","Chao1","***"
"181","SHIME_Firrman_et_al_2021","SHIME_Liu_et_al_2022",1.68550768023415,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"182","SHIME_Firrman_et_al_2021","SHIME_Ma_et_al_2022",6.82054867900628,0.000000000925073178498592,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.25e-10"")","Chao1","***"
"183","SHIME_Firrman_et_al_2021","SIMGI_Zorraquin_et_al_2021",2.67701412629265,0.349123064305257,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.35"")","Chao1","n.s."
"184","SHIME_Firrman_et_al_2021","TIM-2_Larsen_et_al_2019",2.12524083457581,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"185","SHIME_Firrman_et_al_2021","TIM-2_Vieira_et_al_2021",12.2599510784138,2.13968981647309e-32,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.14e-32"")","Chao1","***"
"186","SHIME_Liu_et_al_2022","ARCOL_Leclerc_et_al_2021",6.89638126413741,0.000000000549442283513448,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.49e-10"")","Chao1","***"
"187","SHIME_Liu_et_al_2022","Infors_Reese_et_al_2018",3.96533052607464,0.00520389620326945,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.20e-03"")","Chao1","**"
"188","SHIME_Liu_et_al_2022","M-ARCOL_Deschamps_et_al_2020",1.14338658428737,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"189","SHIME_Liu_et_al_2022","M-SHIME_Abbeele_2021",6.32081854417826,0.000000025757958641624,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.58e-08"")","Chao1","***"
"190","SHIME_Liu_et_al_2022","M-SHIME_Chassaing_et_al_2017",1.78638420754899,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"191","SHIME_Liu_et_al_2022","PolyFermS_Pham_et_al_2019",4.7471267234983,0.000171251153192448,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.71e-04"")","Chao1","***"
"192","SHIME_Liu_et_al_2022","SHIME_Ma_et_al_2022",3.63391650561268,0.0181448300203118,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Chao1","*"
"193","SHIME_Liu_et_al_2022","SIMGI_Zorraquin_et_al_2021",1.84861837468313,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"194","SHIME_Liu_et_al_2022","TIM-2_Larsen_et_al_2019",0.376665596239822,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"195","SHIME_Liu_et_al_2022","TIM-2_Vieira_et_al_2021",7.57736184482999,3.98497009594078e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.98e-12"")","Chao1","***"
"196","SHIME_Ma_et_al_2022","ARCOL_Leclerc_et_al_2021",4.08636603566522,0.00315491256262884,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.15e-03"")","Chao1","**"
"197","SHIME_Ma_et_al_2022","Infors_Reese_et_al_2018",0.182197402015231,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"198","SHIME_Ma_et_al_2022","M-ARCOL_Deschamps_et_al_2020",3.80516981625767,0.00963607156948741,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.64e-03"")","Chao1","**"
"199","SHIME_Ma_et_al_2022","M-SHIME_Abbeele_2021",3.17412310066608,0.0851836071978473,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.09"")","Chao1","n.s."
"200","SHIME_Ma_et_al_2022","M-SHIME_Chassaing_et_al_2017",3.23088738665984,0.0728098647435479,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.07"")","Chao1","n.s."
"201","SHIME_Ma_et_al_2022","PolyFermS_Pham_et_al_2019",1.14964608655228,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"202","SHIME_Ma_et_al_2022","SIMGI_Zorraquin_et_al_2021",0.269618795775102,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"203","SHIME_Ma_et_al_2022","TIM-2_Larsen_et_al_2019",6.11614851273538,0.000000092029431491126,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.20e-08"")","Chao1","***"
"204","SHIME_Ma_et_al_2022","TIM-2_Vieira_et_al_2021",4.89219480590341,0.0000857571972659666,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""8.58e-05"")","Chao1","***"
"205","SIMGI_Zorraquin_et_al_2021","ARCOL_Leclerc_et_al_2021",1.19868255849747,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"206","SIMGI_Zorraquin_et_al_2021","Infors_Reese_et_al_2018",0.211188660830585,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"207","SIMGI_Zorraquin_et_al_2021","M-ARCOL_Deschamps_et_al_2020",1.47075764526846,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"208","SIMGI_Zorraquin_et_al_2021","PolyFermS_Pham_et_al_2019",0.10677407967676,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"209","SIMGI_Zorraquin_et_al_2021","TIM-2_Larsen_et_al_2019",2.11506653086675,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"210","SIMGI_Zorraquin_et_al_2021","TIM-2_Vieira_et_al_2021",1.41426559287565,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"211","TIM-2_Larsen_et_al_2019","ARCOL_Leclerc_et_al_2021",11.2030256082209,5.43777373128947e-27,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.44e-27"")","Chao1","***"
"212","TIM-2_Larsen_et_al_2019","Infors_Reese_et_al_2018",7.21006720811989,6.03982093046604e-11,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.04e-11"")","Chao1","***"
"213","TIM-2_Larsen_et_al_2019","M-ARCOL_Deschamps_et_al_2020",2.74927029242373,0.292667742746558,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.29"")","Chao1","n.s."
"214","TIM-2_Larsen_et_al_2019","PolyFermS_Pham_et_al_2019",8.69512216241204,4.19212763578096e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.19e-16"")","Chao1","***"
"215","TIM-2_Larsen_et_al_2019","TIM-2_Vieira_et_al_2021",12.838118957136,1.47413825719513e-35,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.47e-35"")","Chao1","***"
"216","TIM-2_Vieira_et_al_2021","ARCOL_Leclerc_et_al_2021",0.608781080855555,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"217","TIM-2_Vieira_et_al_2021","Infors_Reese_et_al_2018",5.17757541509916,0.0000197813517328571,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.98e-05"")","Chao1","***"
"218","TIM-2_Vieira_et_al_2021","M-ARCOL_Deschamps_et_al_2020",9.94592154784785,3.41550139743507e-21,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.42e-21"")","Chao1","***"
"219","TIM-2_Vieira_et_al_2021","PolyFermS_Pham_et_al_2019",4.25679615427238,0.00155532956471496,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.56e-03"")","Chao1","**"
"220","batch_Bas-Bellver_et_al_2020","ARCOL_Leclerc_et_al_2021",6.79780722476922,0.00000000107285691741015,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.07e-09"")","Chao1","***"
"221","batch_Bas-Bellver_et_al_2020","Infors_Reese_et_al_2018",4.83047723979939,0.00011577525668286,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.16e-04"")","Chao1","***"
"222","batch_Bas-Bellver_et_al_2020","M-ARCOL_Deschamps_et_al_2020",3.03159314451341,0.131364100352744,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.13"")","Chao1","n.s."
"223","batch_Bas-Bellver_et_al_2020","M-SHIME_Abbeele_2021",6.31831331838891,0.000000025914480446805,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.59e-08"")","Chao1","***"
"224","batch_Bas-Bellver_et_al_2020","M-SHIME_Chassaing_et_al_2017",3.44371885071065,0.0367214089805619,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.04"")","Chao1","*"
"225","batch_Bas-Bellver_et_al_2020","PolyFermS_Pham_et_al_2019",5.3254510876472,0.00000906325315256255,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.06e-06"")","Chao1","***"
"226","batch_Bas-Bellver_et_al_2020","SHIME_Firrman_et_al_2021",1.13143195111917,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"227","batch_Bas-Bellver_et_al_2020","SHIME_Liu_et_al_2022",2.06385524106066,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"228","batch_Bas-Bellver_et_al_2020","SHIME_Ma_et_al_2022",4.63700316334513,0.00028986754327194,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.90e-04"")","Chao1","***"
"229","batch_Bas-Bellver_et_al_2020","SIMGI_Zorraquin_et_al_2021",2.97204296986681,0.150870891890421,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.15"")","Chao1","n.s."
"230","batch_Bas-Bellver_et_al_2020","TIM-2_Larsen_et_al_2019",2.10379627243237,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"231","batch_Bas-Bellver_et_al_2020","TIM-2_Vieira_et_al_2021",7.19365570663921,6.74946803893495e-11,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.75e-11"")","Chao1","***"
"232","batch_Bas-Bellver_et_al_2020","batch_Elmen_et_al_2020",5.84197810535628,0.000000490053581525681,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.90e-07"")","Chao1","***"
"233","batch_Bas-Bellver_et_al_2020","batch_Kim_et_al_2022",0.228098195538447,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"234","batch_Bas-Bellver_et_al_2020","batch_Kleigrewe_et_al_2022",0.440770536031949,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"235","batch_Bas-Bellver_et_al_2020","batch_Korth_et_al_2022",2.38784922769533,0.72873359023614,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.73"")","Chao1","n.s."
"236","batch_Bas-Bellver_et_al_2020","single_stage_Xu_et_al_ 2019",3.18080137455599,0.0851836071978473,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.09"")","Chao1","n.s."
"237","batch_Elmen_et_al_2020","ARCOL_Leclerc_et_al_2021",2.44592049812245,0.66462113812723,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.66"")","Chao1","n.s."
"238","batch_Elmen_et_al_2020","Infors_Reese_et_al_2018",2.22721960112503,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"239","batch_Elmen_et_al_2020","M-ARCOL_Deschamps_et_al_2020",7.27411637764186,3.80077862661466e-11,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.80e-11"")","Chao1","***"
"240","batch_Elmen_et_al_2020","M-SHIME_Abbeele_2021",1.18750763463235,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"241","batch_Elmen_et_al_2020","M-SHIME_Chassaing_et_al_2017",6.98215891862975,0.000000000305211945538452,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.05e-10"")","Chao1","***"
"242","batch_Elmen_et_al_2020","PolyFermS_Pham_et_al_2019",1.15191798368515,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"243","batch_Elmen_et_al_2020","SHIME_Firrman_et_al_2021",10.0695037245365,9.8718141351274e-22,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.87e-22"")","Chao1","***"
"244","batch_Elmen_et_al_2020","SHIME_Liu_et_al_2022",5.58034541817703,0.0000022323850506995,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.23e-06"")","Chao1","***"
"245","batch_Elmen_et_al_2020","SHIME_Ma_et_al_2022",2.18550587668202,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"246","batch_Elmen_et_al_2020","SIMGI_Zorraquin_et_al_2021",0.431898589493365,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"247","batch_Elmen_et_al_2020","TIM-2_Larsen_et_al_2019",10.4263159093979,2.50090781456516e-23,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.50e-23"")","Chao1","***"
"248","batch_Elmen_et_al_2020","TIM-2_Vieira_et_al_2021",3.30339496141648,0.0582682657204489,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.06"")","Chao1","n.s."
"249","batch_Elmen_et_al_2020","batch_Kim_et_al_2022",16.3195112524649,1.08278177104369e-57,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.08e-57"")","Chao1","***"
"250","batch_Elmen_et_al_2020","batch_Kleigrewe_et_al_2022",9.48578882316961,3.05506983241886e-19,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.06e-19"")","Chao1","***"
"251","batch_Elmen_et_al_2020","batch_Korth_et_al_2022",11.314392541379,1.54805705716578e-27,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.55e-27"")","Chao1","***"
"252","batch_Elmen_et_al_2020","single_stage_Xu_et_al_ 2019",6.39842324680459,0.000000015698962248053,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.57e-08"")","Chao1","***"
"253","batch_Kim_et_al_2022","ARCOL_Leclerc_et_al_2021",16.1056285079324,3.49378896984773e-56,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.49e-56"")","Chao1","***"
"254","batch_Kim_et_al_2022","Infors_Reese_et_al_2018",12.7879967369467,2.79360276372023e-35,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.79e-35"")","Chao1","***"
"255","batch_Kim_et_al_2022","M-ARCOL_Deschamps_et_al_2020",9.15673186861144,6.68659720869786e-18,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.69e-18"")","Chao1","***"
"256","batch_Kim_et_al_2022","M-SHIME_Abbeele_2021",17.4223574339114,8.48596791053916e-66,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""8.49e-66"")","Chao1","***"
"257","batch_Kim_et_al_2022","M-SHIME_Chassaing_et_al_2017",11.4750625246389,2.482310264773e-28,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.48e-28"")","Chao1","***"
"258","batch_Kim_et_al_2022","PolyFermS_Pham_et_al_2019",14.3989879194004,7.82350979848004e-45,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.82e-45"")","Chao1","***"
"259","batch_Kim_et_al_2022","SHIME_Firrman_et_al_2021",3.18063641054038,0.0851836071978473,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.09"")","Chao1","n.s."
"260","batch_Kim_et_al_2022","SHIME_Liu_et_al_2022",4.10757800693826,0.00293040153254675,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.93e-03"")","Chao1","**"
