"","family_GM_only","phylum_GM_only"
"135","Rhodothermaceae","Rhodothermota"
"136","Porticoccaceae","Pseudomonadota"
"137","Sporolactobacillaceae","Bacillota"
"138","Kaistiaceae","Pseudomonadota"
"139","Marivirgaceae","Bacteroidota"
"140","Nocardiopsaceae","Actinomycetota"
"141","Spirochaetaceae","Spirochaetota"
"142","Brachyspiraceae","Spirochaetota"
"143","Methanomethylophilaceae","Candidatus Thermoplasmatota"
"144","Acidothermaceae","Actinomycetota"
"145","Thermoleophilaceae","Actinomycetota"
"146","Magnetococcaceae","Pseudomonadota"
"147","Calditerrivibrionaceae","Deferribacterota"
"148","Desulfitibacteraceae","Bacillota"
"149","Geopsychrobacteraceae","Thermodesulfobacteriota"
"150","Pseudohongiellaceae","Pseudomonadota"
"151","Tsukamurellaceae","Actinomycetota"
"152","Desulfarculaceae","Thermodesulfobacteriota"
"153","Sulfuricellaceae","Pseudomonadota"
"154","Glycomycetaceae","Actinomycetota"
"155","Acidiferrobacteraceae","Pseudomonadota"
"156","Sanguibacteraceae","Actinomycetota"
"157","Ignatzschineriaceae","Pseudomonadota"
"158","Candidatus Cloacimonadaceae","Candidatus Cloacimonadota"
"159","Jiangellaceae","Actinomycetota"
"160","Tepidanaerobacteraceae","Bacillota"
"161","Acaryochloridaceae","Cyanobacteriota"
"162","Gallionellaceae","Pseudomonadota"
"163","Merismopediaceae","Cyanobacteriota"
"164","Amoebophilaceae","Bacteroidota"
"165","Sneathiellaceae","Pseudomonadota"
"166","Geitlerinemataceae","Cyanobacteriota"
"167","Methanocaldococcaceae","Euryarchaeota"
"168","Kytococcaceae","Actinomycetota"
"169","Roseivirgaceae","Bacteroidota"
"170","Aminiphilaceae","Synergistota"
"171","Clostridiales Family XVI. Incertae Sedis","Bacillota"
"172","Thiolinaceae","Pseudomonadota"
"173","Acetomicrobiaceae","Synergistota"
"174","Herpetosiphonaceae","Chloroflexota"
"175","Maricaulaceae","Pseudomonadota"
"176","Halanaerobiaceae","Bacillota"
"177","Chlamydiaceae","Chlamydiota"
"178","Beijerinckiaceae","Pseudomonadota"
"179","Microscillaceae","Bacteroidota"
"180","Patulibacteraceae","Actinomycetota"
"181","Nodosilineaceae","Cyanobacteriota"
"182","Cryomorphaceae","Bacteroidota"
"183","Kopriimonadaceae","Pseudomonadota"
"184","Litorivicinaceae","Pseudomonadota"
"185","Kangiellaceae","Pseudomonadota"
"186","Desulfolunaceae","Thermodesulfobacteriota"
"187","Thermodesulfobacteriaceae","Thermodesulfobacteriota"
"188","Flammeovirgaceae","Bacteroidota"
"189","Stappiaceae","Pseudomonadota"
"190","Spongiibacteraceae","Pseudomonadota"
"191","Hapalosiphonaceae","Cyanobacteriota"
"192","Nitratiruptoraceae","Campylobacterota"
"193","Rhodobiaceae","Pseudomonadota"
"194","Caldisericaceae","Caldisericota"
"195","Thermofilaceae","Thermoproteota"
"196","Ornithinimicrobiaceae","Actinomycetota"
"197","Thermococcaceae","Euryarchaeota"
"198","Desulfurellaceae","Campylobacterota"
"199","Deferribacteraceae","Deferribacterota"
"200","Reichenbachiellaceae","Bacteroidota"
"201","Halothiobacillaceae","Pseudomonadota"
"202","Kordiimonadaceae","Pseudomonadota"
"203","Leeiaceae","Pseudomonadota"
"204","Methanotrichaceae","Euryarchaeota"
"205","Segniliparaceae","Actinomycetota"
"206","Coleofasciculaceae","Cyanobacteriota"
"207","Granulosicoccaceae","Pseudomonadota"
"208","Thermotogaceae","Thermotogota"
"209","Gomontiellaceae","Cyanobacteriota"
"210","Scytonemataceae","Cyanobacteriota"
"211","Methanococcaceae","Euryarchaeota"
"212","Jonesiaceae","Actinomycetota"
"213","Ahrensiaceae","Pseudomonadota"
"214","Rhodovibrionaceae","Pseudomonadota"
"215","Flexibacteraceae","Bacteroidota"
"216","Ferrimonadaceae","Pseudomonadota"
"217","Rivulariaceae","Cyanobacteriota"
"218","Fastidiosibacteraceae","Pseudomonadota"
"219","Hydrogenothermaceae","Aquificota"
"220","Brevinemataceae","Spirochaetota"
"221","Desulfatibacillaceae","Thermodesulfobacteriota"
"222","Methanosarcinaceae","Euryarchaeota"
"223","Methanocorpusculaceae","Euryarchaeota"
"224","Spirulinaceae","Cyanobacteriota"
"225","Tropherymataceae","Actinomycetota"
"226","Chroococcidiopsidaceae","Cyanobacteriota"
"227","Cyanothecaceae","Cyanobacteriota"
"228","Terasakiellaceae","Pseudomonadota"
"229","Microcystaceae","Cyanobacteriota"
"230","Arenicellaceae","Pseudomonadota"
"231","Oscillatoriaceae","Cyanobacteriota"
"232","Petrotogaceae","Thermotogota"
"233","Thermoflexibacteraceae","Bacteroidota"
"234","Haloarculaceae","Euryarchaeota"
"235","Halothecacae","Cyanobacteriota"
"236","Methermicoccaceae","Euryarchaeota"
"237","Persicobacteraceae","Bacteroidota"
"238","Ferroplasmaceae","Candidatus Thermoplasmatota"
"239","Sulfolobaceae","Thermoproteota"
"240","Desulfatirhabdiaceae","Thermodesulfobacteriota"
"241","Chamaesiphonaceae","Cyanobacteriota"
"242","Kosmotogaceae","Thermotogota"
"243","Desulfosudaceae","Thermodesulfobacteriota"
"244","Waddliaceae","Chlamydiota"
"245","Chrysiogenaceae","Chrysiogenota"
"246","Magnetospirillaceae","Pseudomonadota"
"247","Methanomicrobiaceae","Euryarchaeota"
"248","Thermodesulfatatoraceae","Thermodesulfobacteriota"
"249","Mesoaciditogaceae","Thermotogota"
"250","Afifellaceae","Pseudomonadota"
"251","Caldisphaeraceae","Thermoproteota"
"252","Thiofilaceae","Pseudomonadota"
"253","Methanoregulaceae","Euryarchaeota"
"254","Halobacteriaceae","Euryarchaeota"
"255","Halorubraceae","Euryarchaeota"
"256","Blastochloridaceae","Pseudomonadota"
"257","Flexistipitaceae","Deferribacterota"
"258","Acidilobaceae","Thermoproteota"
"259","Picrophilaceae","Candidatus Thermoplasmatota"
"260","Archaeoglobaceae","Euryarchaeota"
"261","Labilitrichaceae","Myxococcota"
"262","Haladaptataceae","Euryarchaeota"
"263","Desulfofabaceae","Thermodesulfobacteriota"
"264","Ancalomicrobiaceae","Pseudomonadota"
"265","Actinopolysporaceae","Actinomycetota"
"266","Bernardetiaceae","Bacteroidota"
"267","Prochlorotrichaceae","Cyanobacteriota"
"268","Budviciaceae","Pseudomonadota"
"269","Aphanothecaceae","Cyanobacteriota"
"270","Methanocellaceae","Euryarchaeota"
"271","Thermoproteaceae","Thermoproteota"
"272","Dermocarpellaceae","Cyanobacteriota"
"273","Dictyoglomaceae","Dictyoglomota"
"274","Celerinatantimonadaceae","Pseudomonadota"
"275","Methanospirillaceae","Euryarchaeota"
"276","Borreliaceae","Spirochaetota"
"277","Zooshikellaceae","Pseudomonadota"
"278","Amorphaceae","Pseudomonadota"
"279","Actinopolymorphaceae","Actinomycetota"
