"","primary_id","study_title","sequence_accession_number","sampleID","bioreactor_model","donor","include_study","reason","fecalSampleSequence","ndonor_type","country_donor","continent","predigestion","stage","stages","working_volume_mL","pH_ac","pH_tc","pH_dc","stirring_speed_rpm","total_retention_time_h","treatment","external_microorganism","flushing_gas","CO2_.","N2_.","H2_.","region_16S","media_based_on","vitamins","peptone","yeast_extract","NaHCO3","CaCl2","pectin","xylan","arabinogalactan","starch","casein","inulin","NaCl","K2HPO4","NaH2PO4","KH2PO4","MgSO4","hemin","menadione","bile_salts_oxgall","L_cysteine","mucin","glucose","pancreatin","cellobiose","lactose","whey_proteins_lactalbumin","HEPES","guanine","inosine","thymidine","xanthine","choline_chloride","ascorbic_acid","lipoic_acid","histidine","resazurin","aminoacid_mix","trace_mineral_supplement","cellulose","bacto_tryptone","XOS","Tween_80","KCL","MgCl2","FeSO4","MnCl2","CoSO4","CuSO4","ZnSO4","NiCl2","Xylitol","Rice","popcorn","whey_protein","arabic_gum","guar_gum","polyoxyethylene","digested_milk_fragments","maltose","include_sample","sample_name_other","reason_sample_exclusion"
"21","SRP266568","Stool conservation","SRX8507165","SRR11962962","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"no","P2FECES","fecal material"
"22","SRP266568","Stool conservation","SRX8507164","SRR11962963","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"23","SRP266568","Stool conservation","SRX8507163","SRR11962964","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"24","SRP266568","Stool conservation","SRX8507162","SRR11962965","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"25","SRP266568","Stool conservation","SRX8507161","SRR11962966","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"26","SRP266568","Stool conservation","SRX8507160","SRR11962967","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"27","SRP266568","Stool conservation","SRX8507159","SRR11962968","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"28","SRP266568","Stool conservation","SRX8507158","SRR11962969","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"29","SRP266568","Stool conservation","SRX8507157","SRR11962970","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
"30","SRP266568","Stool conservation","SRX8507156","SRR11962971","M-ARCOL_Deschamps_et_al_2020","healthy","yes","OK","yes(stool)","2_individual","France","Europe","no","1","ac",300,"6.3",NA,NA,400,24,"Stool_storage","no","no",0,0,0,"V3_V4","Macfarlane et al. 1998","yes",0,0,0,0.34,8,6,6,50,0,0,4.5,1.91,0,0,0.24,0.02,0,0.4,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,20,0,0,0.0027,0,0,0,0,0,0,0,0,0,6,6,0,0,0,"yes",NA,NA
