,primary_id,study_title,sequence_accession_number,sampleID,bioreactor_model,donor,include_study,reason,fecalSampleSequence,ndonor_type,country_donor,continent,predigestion,stage,stages,working_volume_mL,pH_ac,pH_tc,pH_dc,stirring_speed_rpm,total_retention_time_h,treatment,external_microorganism,flushing_gas,CO2_.,N2_.,H2_.,region_16S,media_based_on,vitamins,peptone,yeast_extract,NaHCO3,CaCl2,pectin,xylan,arabinogalactan,starch,casein,inulin,NaCl,K2HPO4,NaH2PO4,KH2PO4,MgSO4,hemin,menadione,bile_salts_oxgall,L_cysteine,mucin,glucose,pancreatin,cellobiose,lactose,whey_proteins_lactalbumin,HEPES,guanine,inosine,thymidine,xanthine,choline_chloride,ascorbic_acid,lipoic_acid,histidine,resazurin,aminoacid_mix,trace_mineral_supplement,cellulose,bacto_tryptone,XOS,Tween_80,KCL,MgCl2,FeSO4,MnCl2,CoSO4,CuSO4,ZnSO4,NiCl2,Xylitol,Rice,popcorn,whey_protein,arabic_gum,guar_gum,polyoxyethylene,digested_milk_fragments,maltose,include_sample,sample_name_other,reason_sample_exclusion
1,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870607,SRR18771187,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
2,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870606,SRR18771084,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
3,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870605,SRR18771085,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
4,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870604,SRR18771086,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
5,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870603,SRR18771087,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
6,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870602,SRR18771088,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
7,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870601,SRR18771089,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
8,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870600,SRR18771090,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
9,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870599,SRR18771091,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
10,SRP370478,in vitro screen of quality protein popcorn on the human gut microbiome 16S,SRX14870598,SRR18771092,batch_Korth_et_al_2022,healthy,yes,OK,no,4_individual,United States,North America,yes,0,batch,0.21,NA,NA,NA,NA,16,popcorn,no,no,0,0,0,V4,popcorn,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,yes,NA,NA
